Head	LHand	RHand
33.736	2.120	2.665
31.507	3.441	2.495
30.977	2.692	1.074
31.567	3.505	1.313
27.719	4.283	1.447
23.731	3.113	1.172
24.818	2.488	2.153
22.809	4.056	2.039
21.889	4.903	2.716
24.309	4.286	3.274
24.426	4.861	1.779
26.233	4.686	1.602
28.064	7.061	0.685
27.253	6.732	1.084
27.926	4.006	1.308
29.350	3.925	1.599
29.638	3.637	1.877
28.946	2.646	2.588
26.234	2.677	2.381
24.467	3.906	2.479
23.808	3.793	4.208
23.306	2.194	3.013
23.879	3.002	1.912
24.180	2.256	1.617
23.139	1.536	0.738
22.436	3.084	0.966
21.995	2.288	2.898
20.228	2.755	4.880
18.505	2.477	5.749
19.679	3.022	4.903
19.278	3.701	2.839
19.710	3.983	2.137
22.615	4.747	1.915
23.276	3.838	2.605
22.077	4.051	3.445
21.455	4.887	3.595
21.698	2.965	4.370
20.603	4.395	5.824
20.835	6.269	5.633
20.352	6.993	6.688
20.267	7.810	7.835
20.741	7.411	6.617
19.920	8.404	5.793
21.436	8.897	5.592
21.088	8.668	5.348
21.210	8.982	6.513
21.224	9.821	6.037
18.779	9.630	4.652
17.510	10.378	4.500
16.214	9.835	4.271
14.469	9.172	3.611
12.712	10.538	4.907
12.586	10.008	5.208
10.512	9.581	4.510
8.806	10.984	6.719
9.506	9.590	5.350
8.075	9.663	4.909
6.248	10.008	6.572
5.431	8.969	6.876
5.142	9.777	8.363
6.377	9.574	10.692
7.247	9.288	10.300
7.572	10.535	9.560
8.043	10.003	10.364
8.322	10.746	9.061
8.900	11.784	9.957
11.158	12.658	14.830
10.927	13.166	13.054
11.037	13.246	12.014
12.805	14.713	16.636
13.935	17.070	17.824
15.753	18.635	17.555
16.868	20.335	20.693
19.435	21.362	24.503
22.183	21.898	28.231
23.963	24.299	30.824
26.362	25.537	33.477
28.973	27.218	37.848
30.231	29.711	39.591
30.617	33.990	43.309
31.221	38.833	48.030
35.781	44.120	49.045
40.811	47.827	46.535
41.219	53.452	41.697
40.587	63.271	41.532
40.144	68.617	47.092
40.923	70.391	52.528
46.496	84.026	56.835
54.347	98.484	63.222
57.132	101.365	73.555
57.517	112.928	85.367
58.190	118.232	92.954
59.346	130.379	106.340
66.300	144.411	120.451
70.497	151.981	141.741
66.441	170.968	160.637
64.754	180.921	177.059
63.674	190.785	194.342
62.257	211.669	214.823
65.995	227.334	230.570
73.487	237.094	240.626
57.206	257.369	258.906
48.186	274.263	264.633
68.458	284.365	260.505
73.715	295.985	266.464
66.832	319.795	275.112
60.073	345.506	282.055
72.564	365.820	302.656
85.966	381.609	329.720
72.666	396.662	348.967
75.834	414.397	370.898
80.641	437.044	394.090
79.272	458.428	414.621
79.398	476.159	431.589
78.628	494.610	431.896
79.215	488.926	451.473
79.753	509.786	472.138
76.166	545.831	475.753
80.062	556.580	490.765
85.820	572.938	505.769
83.741	591.302	505.449
83.032	609.236	532.923
84.476	628.847	584.237
78.514	641.589	616.587
76.994	645.674	646.410
87.131	646.730	685.742
82.586	646.725	719.329
73.174	642.816	740.087
76.942	643.085	761.616
82.553	647.659	783.416
82.299	636.123	805.497
76.439	623.276	819.212
74.702	595.805	831.462
77.295	547.423	836.324
76.879	552.090	836.732
74.828	575.256	845.033
71.494	566.015	824.515
71.653	550.612	825.267
77.110	538.200	844.551
81.698	538.627	817.436
80.461	546.605	805.650
80.841	545.729	803.957
83.828	555.364	780.173
83.965	565.605	761.594
83.672	558.976	729.929
89.011	572.387	701.984
93.950	587.720	677.270
96.624	585.443	644.853
95.634	586.126	619.797
98.696	579.075	598.176
103.642	567.314	575.504
109.068	552.098	548.739
114.364	535.137	521.647
115.161	507.712	492.729
119.892	477.471	453.355
126.275	456.339	403.993
127.802	437.963	358.328
129.900	417.262	312.142
139.392	398.820	262.177
140.315	376.239	212.999
137.710	351.006	155.249
145.413	327.004	88.136
152.781	310.627	46.928
157.038	292.050	51.369
160.287	265.256	55.146
164.257	234.770	60.763
169.318	209.309	53.638
170.075	184.871	43.978
177.866	162.502	40.705
181.684	149.838	37.105
180.352	133.158	23.196
184.679	131.451	13.139
187.641	121.380	13.350
189.403	76.940	19.744
190.200	43.598	19.452
196.059	20.966	8.365
201.975	17.599	4.392
200.451	20.260	4.853
199.889	20.818	8.441
201.463	21.154	11.628
205.012	18.354	12.642
207.980	14.515	12.359
213.275	13.231	11.219
215.321	12.631	7.989
219.371	11.500	5.578
224.018	10.254	4.324
221.970	10.959	5.517
226.200	11.838	5.662
229.468	12.366	3.819
227.864	11.675	5.345
224.925	13.564	6.873
223.255	16.574	8.758
229.051	17.505	11.246
231.174	13.976	14.547
234.716	11.530	15.872
236.234	11.629	17.411
235.135	13.151	18.414
236.829	17.085	18.134
233.325	25.973	15.333
232.581	33.873	13.960
227.977	42.309	14.783
226.027	51.565	12.506
228.417	54.868	11.814
220.842	48.808	14.128
214.667	41.653	17.655
213.489	58.886	19.630
207.407	76.020	19.914
208.719	67.149	21.056
214.265	56.370	19.710
208.439	50.804	18.582
201.986	46.843	17.896
198.928	40.108	14.172
194.514	31.071	11.836
195.885	24.132	10.432
197.587	16.666	8.524
193.952	9.137	6.838
188.814	3.756	7.764
191.868	3.002	8.154
197.018	4.184	9.050
197.458	2.224	11.875
197.477	4.258	12.536
197.341	6.467	13.577
198.405	5.607	15.382
202.562	4.934	17.692
206.359	4.586	18.087
201.549	4.495	18.135
200.004	2.608	19.210
204.018	1.471	19.954
205.294	2.722	21.367
202.944	5.574	22.049
203.089	4.203	22.249
204.794	4.333	24.058
201.998	4.663	24.106
198.266	4.829	21.056
195.900	7.829	24.143
186.286	8.903	24.845
178.316	8.655	21.383
179.476	9.190	20.933
172.180	7.738	21.310
161.990	7.616	20.442
154.947	8.226	19.358
151.585	7.443	19.683
143.518	7.095	19.791
136.621	7.786	17.073
131.955	10.758	14.295
123.897	12.804	11.952
116.401	16.556	9.698
111.488	19.560	7.963
107.852	22.254	6.372
102.368	20.631	5.946
98.480	16.634	4.622
94.031	14.005	5.123
90.859	8.371	5.539
87.997	3.944	7.650
85.375	2.238	10.984
93.515	7.243	14.093
98.620	10.337	16.149
89.313	11.654	14.362
88.032	10.233	12.454
98.730	6.526	8.727
105.174	3.690	2.685
108.687	6.286	3.249
121.378	9.557	3.496
123.425	11.632	3.891
126.580	11.574	3.478
136.181	11.186	3.378
138.071	10.596	4.696
147.087	8.413	1.990
149.090	6.140	2.505
151.957	6.436	4.613
165.781	7.195	6.403
170.806	9.781	7.473
171.836	9.181	8.565
183.238	5.474	11.729
197.267	5.928	14.834
199.855	6.543	13.391
204.097	6.438	9.609
213.363	6.961	9.767
218.849	7.215	10.862
223.958	9.244	10.359
235.720	9.476	11.158
243.710	10.411	9.116
250.978	12.207	7.642
261.976	12.605	8.659
268.951	12.685	8.343
279.820	14.483	8.600
292.317	18.165	9.592
301.849	19.388	10.144
306.428	21.398	10.138
309.323	23.120	10.755
322.762	22.594	12.690
328.279	21.595	12.891
329.163	19.140	14.554
336.135	16.813	16.272
342.923	14.390	16.173
345.731	14.088	17.578
347.095	14.991	19.136
352.946	13.830	18.172
356.089	15.332	17.814
356.024	16.122	18.437
359.165	15.085	18.272
358.030	14.729	18.171
363.007	13.427	18.066
365.457	13.365	17.908
366.789	15.354	17.682
377.283	15.694	15.301
377.817	13.857	15.162
385.765	12.739	18.081
395.607	14.071	17.841
392.122	15.255	18.276
398.917	15.248	19.165
404.698	16.609	18.373
398.014	19.115	20.157
406.658	21.036	20.276
407.583	21.860	18.812
406.822	23.146	17.848
419.551	25.328	16.358
424.983	26.743	12.768
428.424	31.649	9.301
438.169	33.908	10.879
450.307	32.106	10.397
461.869	31.589	10.351
469.150	31.104	13.859
478.137	31.295	16.693
490.733	31.990	19.897
501.314	28.491	21.810
510.376	24.502	22.539
519.775	24.390	25.061
529.893	30.519	27.846
538.851	48.798	32.298
539.649	69.920	41.785
540.884	86.714	55.492
543.920	104.690	70.069
546.561	121.922	75.787
552.697	132.368	74.443
554.819	141.336	80.593
549.583	153.022	86.290
550.021	165.710	82.091
551.443	180.071	80.495
544.519	193.332	89.761
537.994	215.032	110.443
533.476	210.315	147.522
528.096	189.071	141.377
