
P1_elbow_lP1_whole_dist_traveled	P1_shoulder_lP1_whole_dist_traveled	P1_headP1_whole_dist_traveled	P1_hand_lP1_whole_dist_traveled	P1_hand_rP1_whole_dist_traveled	P1_elbow_rP1_whole_dist_traveled	P1_shoulder_rP1_whole_dist_traveled
21.201	19.604	84.703	98.952	93.975	15.983	22.833
22.333	20.117	86.305	109.158	102.206	16.733	23.261
23.669	20.650	87.845	119.494	110.683	17.406	23.608
25.077	21.232	89.325	129.805	119.337	18.039	23.991
26.530	21.840	90.652	140.040	128.242	18.662	24.316
27.951	22.498	91.915	150.233	137.045	19.300	24.631
29.466	23.225	93.050	160.244	146.375	19.963	24.895
30.780	23.914	94.123	170.199	155.536	20.634	25.222
32.281	24.503	95.030	180.006	164.812	21.421	25.540
33.642	25.058	95.813	189.533	173.535	22.309	25.972
35.133	25.572	96.448	198.506	182.528	23.363	26.312
36.756	26.270	96.973	207.118	191.165	24.512	26.648
38.378	26.846	97.475	215.146	199.482	25.818	26.937
40.169	27.412	97.911	222.622	207.427	27.225	27.273
41.621	28.013	98.298	228.952	214.990	28.842	27.580
43.700	28.679	98.630	235.650	221.770	30.444	27.885
45.771	29.282	98.934	241.808	228.214	32.280	28.179
47.871	29.899	99.210	247.721	234.173	34.176	28.479
50.202	30.493	99.503	253.188	239.741	36.244	28.784
52.643	31.093	99.841	258.385	244.922	38.238	29.123
55.065	31.637	100.245	263.499	249.869	40.582	29.497
57.573	32.147	100.636	268.296	254.735	42.664	29.868
60.075	32.719	101.077	273.276	259.318	44.990	30.246
62.813	33.387	101.533	277.857	263.790	47.364	30.596
65.690	34.141	101.962	282.311	267.930	49.645	30.937
68.359	34.913	102.444	286.660	272.085	52.033	31.295
71.095	35.627	102.914	290.899	276.056	54.335	31.615
73.722	36.537	103.362	294.935	279.886	56.561	31.913
76.436	37.372	103.828	298.786	283.595	58.958	32.250
78.950	38.078	104.228	302.681	287.363	61.094	32.566
81.408	38.876	104.551	306.445	291.033	63.196	32.977
83.698	39.658	104.834	309.849	294.727	65.436	33.230
85.934	40.324	105.092	313.740	298.484	67.311	33.230
88.023	41.038	105.383	317.640	302.256	69.201	33.609
90.074	41.865	105.612	321.598	306.094	70.688	33.609
92.022	42.512	105.852	325.263	309.733	72.293	34.424
93.682	43.224	106.059	328.875	313.228	73.733	34.688
95.147	43.921	106.059	332.114	316.618	75.071	34.894
96.465	44.666	106.429	335.483	319.723	76.438	35.170
97.451	45.365	106.673	338.691	322.836	77.238	35.458
98.059	46.019	106.901	341.818	325.743	77.823	35.805
98.585	46.679	107.131	344.847	328.461	78.150	36.171
99.153	47.221	107.348	347.420	331.131	78.440	36.429
99.771	47.721	107.641	350.251	333.813	78.891	36.650
100.440	48.179	107.976	352.892	336.333	79.522	36.945
101.147	48.632	108.371	355.483	338.911	80.058	37.981
101.787	49.086	108.848	358.060	341.362	80.446	38.436
102.506	49.534	109.412	360.412	343.823	80.754	38.889
103.251	50.016	110.028	362.733	346.331	81.033	39.241
104.334	50.559	110.788	365.105	348.786	81.358	39.610
105.108	51.071	111.712	367.216	351.082	81.720	39.992
105.931	51.625	112.740	369.282	353.457	82.146	40.411
106.536	52.108	113.870	371.185	355.693	82.548	40.784
107.162	52.756	115.205	372.924	357.355	83.119	41.200
107.764	53.524	116.603	374.866	359.069	83.478	41.554
108.288	54.227	118.158	376.617	360.772	83.753	41.904
108.758	54.806	119.867	378.220	362.379	83.996	42.218
109.176	55.415	121.696	379.996	363.688	84.203	42.546
109.591	55.943	123.625	381.803	364.991	84.591	42.847
109.949	56.423	125.630	383.462	366.287	84.933	43.115
110.246	56.814	127.667	385.090	367.765	85.296	43.429
110.537	57.180	129.663	386.744	369.055	85.656	43.681
110.767	57.578	131.677	388.415	370.347	86.047	43.966
110.767	57.916	133.665	390.013	371.417	86.630	44.188
111.074	58.292	135.672	391.854	372.820	87.194	44.408
111.074	58.648	137.610	393.686	373.848	87.741	44.611
111.314	58.993	139.657	395.498	375.072	88.273	44.846
111.314	59.254	141.656	397.367	376.100	88.766	45.057
111.314	59.529	143.766	399.149	377.331	89.405	45.295
111.556	59.778	145.911	400.889	378.619	90.139	45.525
111.556	60.001	148.095	402.679	380.010	90.906	45.740
111.556	60.001	150.451	404.403	381.155	91.726	45.970
111.556	60.311	152.912	406.072	382.549	92.392	46.217
111.762	60.311	155.370	407.667	383.868	93.143	46.482
111.762	60.311	158.015	409.032	385.273	93.874	46.764
