Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z	RHand_X	RHand_Y	RHand_Z
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.684	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.684	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.684	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.684	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.684	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.684	26.919	13.520	0.891	2.121	2.212	1.506	2.002	2.211
29.684	26.919	13.520	0.891	2.121	2.212	1.506	2.002	2.211
29.904	26.919	13.520	0.891	2.121	2.212	1.506	2.002	2.514
29.904	26.919	13.520	0.891	2.121	2.212	1.506	2.002	2.514
29.904	26.919	13.520	0.891	2.121	2.212	1.506	2.220	2.890
29.904	26.919	13.733	0.891	2.121	2.473	1.506	2.220	3.194
30.126	27.122	13.733	0.891	2.121	2.473	1.706	2.220	3.552
30.126	27.122	13.951	0.891	2.384	2.768	1.706	2.220	3.981
30.354	27.327	13.951	0.891	2.632	3.082	1.706	2.220	4.499
30.354	27.327	14.372	0.891	2.872	3.424	1.706	2.220	5.270
30.756	27.560	14.709	0.891	3.168	3.887	1.706	2.465	6.152
31.026	27.560	15.055	1.116	3.580	4.301	1.706	2.465	7.038
31.362	27.947	15.465	1.116	4.077	4.741	2.000	2.465	8.244
31.774	28.246	15.880	1.116	4.698	5.237	2.299	2.465	9.415
32.273	28.568	16.446	1.451	5.391	5.838	2.537	2.465	10.759
32.846	29.024	17.100	1.451	5.902	6.406	2.807	2.465	12.291
33.551	29.469	17.842	1.848	6.391	6.989	2.807	2.465	13.801
34.377	29.997	18.635	2.156	7.020	7.624	2.807	2.465	15.457
