P1_pos_hand_l	P1_pos_hand_r
833.047	809.178
832.990	809.148
832.934	809.114
832.867	809.095
832.814	809.080
832.745	809.032
832.690	809.025
832.595	808.989
832.527	809.012
832.520	808.983
832.500	808.964
832.459	808.929
832.424	808.907
832.368	808.855
832.310	808.828
832.227	808.761
832.164	808.714
832.073	808.664
832.049	808.600
831.996	808.570
831.925	808.549
831.860	808.490
831.794	808.432
831.743	808.349
831.622	808.306
831.543	808.206
831.448	808.130
831.393	808.001
831.340	807.925
831.312	807.855
831.303	807.781
831.273	807.790
831.266	807.751
831.237	807.745
831.215	807.765
831.172	807.785
831.128	807.792
831.068	807.843
830.967	807.908
830.869	807.981
830.792	808.043
830.685	808.106
830.582	808.175
830.463	808.217
830.271	808.250
830.105	808.332
829.952	808.423
829.814	808.538
829.700	808.685
829.608	808.799
829.534	808.935
829.585	809.096
829.714	809.283
829.906	809.513
830.213	809.745
830.731	810.028
831.414	810.404
832.220	810.917
833.231	811.570
834.351	812.132
835.539	812.596
836.915	813.121
838.379	813.619
839.993	813.945
841.730	814.165
843.593	814.366
845.864	814.555
847.521	814.408
848.928	814.199
850.280	814.328
851.218	814.103
851.951	813.737
852.260	813.181
852.147	812.560
851.632	811.844
850.717	811.136
849.459	810.405
848.003	809.708
846.224	809.092
844.367	808.472
842.193	807.916
840.068	807.488
837.941	806.999
835.800	806.568
833.895	805.984
832.067	805.284
830.349	804.658
828.788	803.809
827.332	802.941
826.061	802.090
824.743	801.220
823.607	800.476
822.447	799.825
821.230	799.331
819.995	798.950
818.638	798.614
817.127	798.367
815.148	798.059
813.870	797.625
812.546	797.174
811.425	796.594
810.611	796.143
809.997	795.649
809.652	795.139
809.384	794.768
809.324	794.516
809.291	794.308
809.118	794.254
808.908	794.241
808.488	794.281
807.987	794.347
807.372	794.350
806.690	794.388
805.934	794.343
805.290	794.213
804.631	793.998
804.100	793.772
803.663	793.506
803.288	793.170
803.015	792.824
802.859	792.549
802.780	792.224
802.953	791.930
803.166	791.727
803.303	791.475
803.375	791.101
803.260	790.737
802.951	790.313
802.464	790.035
801.921	789.968
801.384	789.993
800.823	790.036
800.121	790.275
799.627	790.524
799.008	790.710
798.298	790.879
797.534	790.949
796.687	790.643
795.755	790.290
794.559	789.907
793.553	789.586
792.582	789.322
791.779	789.032
791.341	788.746
790.936	788.397
790.648	787.770
790.418	787.030
790.261	786.132
790.075	785.123
789.835	784.016
789.644	782.834
789.445	781.680
789.156	780.402
789.247	779.438
789.134	778.908
789.074	778.887
789.175	779.102
789.347	779.523
789.498	779.921
789.631	780.042
789.732	780.035
789.832	780.022
789.909	780.015
789.994	780.037
790.064	780.094
790.109	780.145
790.154	780.173
790.198	780.177
790.225	780.162
790.267	780.150
790.313	780.162
790.344	780.166
790.391	780.147
790.422	780.119
790.446	780.100
790.471	780.082
790.488	780.068
790.502	780.062
790.510	780.048
790.518	780.067
790.507	780.039
790.514	780.048
790.499	780.040
790.496	780.028
790.467	780.016
790.469	779.978
790.460	779.952
790.448	779.929
790.427	779.900
790.391	779.893
790.377	779.858
790.342	779.802
790.319	779.783
790.311	779.746
790.284	779.730
790.266	779.712
790.286	779.669
790.256	779.653
790.285	779.634
790.296	779.627
790.269	779.613
790.259	779.575
790.248	779.538
790.243	779.508
790.219	779.480
790.216	779.467
790.207	779.467
790.203	779.449
790.204	779.429
790.193	779.399
790.196	779.355
790.189	779.326
790.185	779.308
790.193	779.260
790.173	779.245
790.207	779.235
790.206	779.222
790.224	779.220
790.231	779.191
790.222	779.194
790.249	779.187
790.237	779.194
790.257	779.178
790.276	779.174
790.288	779.166
790.301	779.152
790.317	779.166
790.313	779.169
790.320	779.170
790.304	779.166
790.282	779.138
790.292	779.139
790.276	779.142
790.273	779.125
790.279	779.124
790.272	779.119
790.258	779.104
790.259	779.082
790.262	779.097
790.255	779.091
790.257	779.082
790.251	779.073
790.252	779.060
790.257	779.062
790.258	779.057
790.254	779.074
790.272	779.068
790.278	779.059
790.269	779.052
790.282	779.055
790.298	779.051
790.272	779.036
790.264	779.017
790.249	779.013
790.251	778.987
790.259	778.991
790.245	778.954
790.264	778.964
790.280	778.969
790.298	778.945
790.315	778.924
790.344	778.922
790.341	778.922
790.362	778.926
790.377	778.916
790.372	778.926
790.371	778.918
790.372	778.927
790.377	778.914
790.382	778.901
790.354	778.894
790.366	778.895
790.364	778.893
790.362	778.870
790.355	778.873
790.361	778.863
790.374	778.882
790.388	778.879
790.375	778.883
790.376	778.872
790.378	778.871
790.362	778.862
790.364	778.863
790.386	778.849
790.379	778.847
790.385	778.850
790.374	778.835
790.375	778.822
790.382	778.824
790.379	778.799
790.378	778.778
790.367	778.775
790.350	778.745
790.359	778.744
790.365	778.732
790.373	778.713
790.369	778.723
790.384	778.721
790.377	778.679
790.375	778.683
790.369	778.666
790.367	778.655
790.371	778.658
790.363	778.659
790.354	778.673
790.351	778.674
790.371	778.677
790.362	778.664
790.356	778.693
790.358	778.757
790.384	778.867
790.443	779.068
790.581	779.356
790.812	779.803
791.205	780.410
791.789	781.287
792.666	782.552
793.954	784.047
795.493	785.824
797.244	787.865
799.098	790.332
801.235	792.754
803.439	795.169
805.961	797.325
809.037	799.150
812.168	800.828
815.626	802.079
819.507	802.910
823.249	803.174
826.551	803.295
829.648	803.077
832.073	802.330
834.188	801.834
835.540	800.880
836.539	799.875
836.834	799.046
836.869	798.481
836.394	798.246
835.693	798.267
834.942	798.512
834.341	799.071
834.027	799.713
834.059	800.463
834.307	801.376
834.850	802.500
835.858	803.668
837.569	804.943
839.733	805.989
842.205	806.976
844.715	807.439
847.153	807.952
849.076	808.232
850.758	808.372
851.929	808.108
852.666	807.482
853.085	806.656
853.203	805.730
853.038	804.571
852.487	803.562
851.671	802.484
850.632	801.454
849.148	800.878
847.579	800.457
845.759	800.215
844.050	800.614
842.449	801.019
841.291	801.805
840.742	802.658
840.542	803.474
840.533	804.325
840.997	805.096
842.326	805.859
844.208	806.472
846.298	806.912
848.594	807.136
850.523	807.229
852.176	807.110
853.303	806.873
853.955	806.277
853.820	805.691
853.445	805.038
852.787	804.530
852.074	803.895
850.718	803.303
849.030	802.865
846.646	802.454
843.863	802.118
840.777	802.005
837.579	801.439
834.540	800.791
831.539	799.934
829.223	798.884
826.072	797.509
823.096	795.864
820.302	793.968
817.592	791.566
814.671	788.753
811.521	785.593
808.114	782.321
804.340	780.470
800.462	781.269
797.473	782.499
796.893	783.336
797.398	783.963
798.491	784.214
799.262	784.021
799.831	783.675
800.071	783.234
799.981	782.978
799.685	782.933
799.326	782.993
798.980	783.086
798.724	783.102
798.651	783.056
798.735	783.014
798.844	782.983
798.934	782.973
798.991	782.964
799.024	782.967
799.026	782.967
799.073	782.934
799.091	782.938
799.127	782.927
799.160	782.955
799.211	782.931
799.218	782.940
799.243	782.899
799.257	782.884
799.253	782.891
799.223	782.885
799.230	782.891
799.196	782.903
799.197	782.893
799.209	782.890
799.198	782.886
