P1_head_pos_head_X	P1_head_pos_head_Y	P1_head_pos_head_Z
-127.820	1.756	1273.766
-127.654	1.616	1273.789
-127.498	1.508	1273.786
-127.348	1.408	1273.794
-127.229	1.326	1273.796
-127.086	1.279	1273.789
-126.963	1.220	1273.788
-126.880	1.221	1273.774
-126.797	1.233	1273.781
-126.715	1.254	1273.797
-126.662	1.266	1273.832
-126.638	1.286	1273.895
-126.632	1.333	1273.954
-126.623	1.350	1274.031
-126.639	1.395	1274.129
-126.672	1.412	1274.258
-126.721	1.425	1274.384
-126.749	1.453	1274.493
-126.798	1.450	1274.627
-126.874	1.465	1274.757
-126.940	1.471	1274.875
-127.027	1.468	1274.987
-127.135	1.474	1275.102
-127.247	1.502	1275.195
-127.347	1.516	1275.283
-127.461	1.550	1275.368
-127.578	1.587	1275.434
-127.702	1.619	1275.480
-127.799	1.672	1275.500
-127.893	1.723	1275.519
-127.983	1.783	1275.519
-128.046	1.860	1275.511
-128.130	1.934	1275.515
-128.195	1.999	1275.465
-128.227	2.086	1275.414
-128.245	2.165	1275.347
-128.240	2.260	1275.277
-128.212	2.363	1275.187
-128.139	2.461	1275.088
-128.058	2.566	1274.982
-127.946	2.689	1274.871
-127.810	2.823	1274.773
-127.649	2.998	1274.671
-127.484	3.175	1274.593
-127.309	3.380	1274.491
-127.129	3.631	1274.410
-126.960	3.840	1274.309
-126.800	4.077	1274.202
-126.637	4.330	1274.082
-126.457	4.601	1273.964
-126.277	4.885	1273.864
-126.107	5.181	1273.787
-125.947	5.493	1273.696
-125.820	5.804	1273.609
-125.690	6.100	1273.526
-125.542	6.382	1273.441
-125.412	6.662	1273.350
-125.310	6.904	1273.255
-125.191	7.157	1273.161
-125.103	7.381	1273.092
-125.026	7.617	1273.014
-124.949	7.851	1272.935
-124.891	8.089	1272.852
-124.829	8.360	1272.775
-124.763	8.653	1272.702
-124.712	8.918	1272.590
-124.662	9.187	1272.534
-124.627	9.449	1272.466
-124.574	9.721	1272.375
-124.541	9.978	1272.312
-124.519	10.217	1272.217
-124.500	10.476	1272.120
-124.473	10.760	1272.020
-124.436	11.026	1271.958
-124.392	11.337	1271.886
-124.360	11.651	1271.807
-124.341	11.977	1271.706
-124.304	12.306	1271.616
-124.277	12.631	1271.482
-124.211	12.946	1271.390
-124.166	13.274	1271.282
-124.097	13.597	1271.168
-124.014	13.910	1271.035
-124.054	14.350	1270.704
-123.911	14.680	1270.534
-123.738	14.980	1270.368
-123.564	15.270	1270.209
-123.391	15.505	1270.075
-123.201	15.706	1269.902
-122.991	15.893	1269.752
-122.762	16.067	1269.595
-122.510	16.233	1269.441
-122.249	16.361	1269.295
-121.986	16.486	1269.139
-121.688	16.596	1268.951
-121.422	16.694	1268.794
-121.160	16.789	1268.639
-120.931	16.834	1268.497
-120.687	16.878	1268.361
-120.441	16.915	1268.279
-120.220	16.923	1268.201
-120.023	16.923	1268.153
-119.791	16.921	1268.112
-119.590	16.888	1268.070
-119.380	16.831	1268.033
-119.118	16.771	1267.987
-118.893	16.697	1267.938
-118.633	16.640	1267.877
-118.315	16.527	1267.791
-117.939	16.406	1267.681
-117.511	16.297	1267.508
-116.978	16.215	1267.324
-116.097	15.979	1267.226
-115.311	15.967	1266.923
-114.534	15.959	1266.526
-113.562	16.004	1266.046
-112.533	16.012	1265.469
-111.427	16.016	1264.929
-110.353	16.058	1264.340
-109.150	16.090	1263.667
-108.200	16.328	1262.777
-106.912	16.379	1262.180
-105.691	16.546	1261.432
-104.299	16.645	1260.645
-102.984	16.810	1259.918
-101.593	16.893	1259.062
-100.279	17.146	1258.140
-98.940	17.263	1257.355
-97.587	17.368	1256.581
-96.256	17.588	1255.839
-94.985	17.723	1255.139
-93.719	17.774	1254.440
-92.593	17.843	1253.811
-91.412	17.930	1253.301
-90.313	17.884	1252.762
-89.291	17.817	1252.335
-88.359	17.796	1251.983
-87.419	17.730	1251.639
-86.513	17.676	1251.363
-85.698	17.643	1251.107
-84.828	17.491	1250.822
-84.118	17.431	1250.579
-83.450	17.294	1250.367
-82.888	17.163	1250.221
-82.439	17.039	1250.147
-82.064	16.932	1250.137
-81.765	16.803	1250.199
-81.555	16.714	1250.315
-81.395	16.616	1250.432
-81.283	16.558	1250.579
-81.177	16.540	1250.746
-81.081	16.524	1250.924
-80.963	16.560	1251.098
-80.822	16.605	1251.207
-80.681	16.667	1251.269
-80.450	16.741	1251.296
-80.171	16.862	1251.306
-79.867	16.963	1251.289
-79.543	17.074	1251.183
