P1_hands_dir_Distance_X	P1_hands_dir_Distance_Y	P1_hands_dir_Distance_Z
15.734	-106.721	3.800
15.510	-105.157	3.326
15.479	-103.754	2.739
15.324	-102.573	2.271
15.430	-101.599	1.811
15.559	-100.904	1.404
15.709	-100.444	1.121
15.895	-100.255	0.848
16.270	-100.401	0.625
16.659	-100.600	0.543
16.851	-100.964	0.563
16.921	-101.474	0.598
17.187	-101.744	0.611
17.463	-102.004	0.601
17.516	-102.251	0.610
17.598	-102.469	0.674
17.751	-102.604	0.762
17.985	-102.879	0.979
18.300	-103.203	1.180
18.578	-103.880	1.346
18.873	-104.582	1.517
19.182	-105.432	1.663
19.491	-106.354	1.841
19.799	-107.364	2.040
20.147	-108.633	2.331
20.552	-110.283	2.826
20.978	-111.719	3.308
21.274	-113.344	3.833
21.519	-115.025	4.466
21.920	-116.453	4.985
22.371	-117.800	5.683
22.829	-118.916	6.451
23.312	-119.876	7.283
23.979	-120.635	8.107
24.681	-121.190	8.952
25.558	-121.289	9.728
26.642	-121.162	10.426
27.930	-120.766	11.039
29.239	-119.934	11.387
30.337	-118.926	11.715
31.464	-117.575	11.838
32.340	-116.098	11.702
33.165	-114.610	11.467
33.741	-113.048	11.275
34.113	-111.424	11.096
34.384	-109.973	11.024
34.420	-108.802	11.181
34.311	-107.716	11.419
34.018	-106.869	11.682
33.743	-106.397	11.769
33.611	-106.141	11.892
33.590	-105.985	11.928
33.673	-105.885	12.059
33.685	-106.026	11.929
33.875	-106.245	11.938
34.103	-106.459	11.864
34.264	-106.649	11.721
34.338	-106.693	11.551
34.407	-106.704	11.375
34.444	-106.622	11.229
34.462	-106.432	11.094
34.441	-106.198	10.926
34.369	-105.682	10.702
34.299	-104.967	10.476
34.123	-104.199	10.304
33.660	-103.414	10.018
33.545	-102.465	9.845
33.122	-101.846	9.634
32.877	-101.155	9.579
32.339	-100.897	9.425
32.124	-100.707	9.320
31.711	-100.822	9.222
31.476	-101.192	9.115
31.101	-101.669	8.839
30.848	-102.203	8.723
30.564	-102.918	8.395
30.198	-103.553	8.102
29.993	-104.115	7.833
29.731	-104.868	7.484
29.598	-105.749	7.069
29.514	-106.788	6.656
29.350	-107.802	6.317
29.444	-108.924	5.885
29.463	-110.263	5.286
29.735	-111.640	4.846
30.020	-113.186	4.333
30.373	-114.615	3.743
30.721	-116.165	3.249
31.298	-117.656	2.830
31.713	-119.141	2.380
32.304	-120.997	1.797
32.880	-122.484	1.396
33.289	-123.718	1.051
33.684	-124.891	0.586
34.160	-126.000	0.381
34.639	-126.880	0.307
34.988	-127.494	0.333
35.340	-127.867	0.423
35.620	-128.014	0.591
35.796	-128.187	0.757
35.799	-128.420	0.941
35.759	-128.667	1.200
35.638	-128.922	1.488
35.424	-129.173	1.780
35.224	-129.542	2.119
35.268	-129.881	2.366
35.162	-130.275	2.592
35.064	-130.602	2.764
35.061	-130.867	2.944
35.065	-130.965	3.079
35.086	-130.997	3.122
35.154	-130.969	3.210
35.173	-130.923	3.297
35.233	-130.874	3.429
35.265	-130.893	3.555
35.329	-131.003	3.672
35.439	-131.134	3.690
35.545	-131.232	3.765
35.695	-131.294	3.792
35.828	-131.330	3.835
35.907	-131.317	3.907
35.920	-131.305	3.969
35.943	-131.265	4.035
35.910	-131.251	4.134
35.833	-131.218	4.221
35.722	-131.240	4.263
35.646	-131.284	4.311
35.557	-131.338	4.335
35.475	-131.433	4.353
35.395	-131.524	4.381
35.385	-131.592	4.400
35.412	-131.642	4.374
35.412	-131.696	4.364
35.422	-131.718	4.313
35.490	-131.706	4.291
35.524	-131.644	4.264
35.570	-131.604	4.237
35.567	-131.579	4.177
35.579	-131.548	4.168
35.498	-131.582	4.102
35.456	-131.566	4.109
35.299	-131.563	4.120
35.250	-131.566	4.122
35.209	-131.577	4.065
35.168	-131.539	4.021
35.184	-131.503	4.013
35.184	-131.452	3.945
35.249	-131.388	3.935
35.279	-131.312	3.902
35.334	-131.301	3.855
35.338	-131.280	3.804
35.347	-131.299	3.746
35.322	-131.305	3.680
35.310	-131.299	3.647
35.302	-131.253	3.564
35.300	-131.233	3.496
35.344	-131.163	3.416
35.366	-131.093	3.357
35.432	-131.037	3.289
35.470	-131.002	3.211
35.507	-130.954	3.162
35.580	-130.908	3.099
35.589	-130.864	3.053
35.624	-130.802	3.003
35.687	-130.785	2.971
35.711	-130.738	2.940
35.791	-130.708	2.884
35.818	-130.678	2.868
35.884	-130.641	2.844
35.954	-130.582	2.823
35.975	-130.558	2.808
36.018	-130.508	2.803
36.040	-130.480	2.764
36.059	-130.487	2.732
36.084	-130.489	2.684
36.111	-130.507	2.649
36.117	-130.525	2.600
36.139	-130.547	2.543
36.181	-130.565	2.502
36.220	-130.578	2.408
36.275	-130.569	2.354
36.323	-130.558	2.220
36.380	-130.554	2.117
36.424	-130.569	1.977
36.437	-130.560	1.874
36.464	-130.575	1.790
36.467	-130.583	1.685
36.448	-130.633	1.590
36.427	-130.701	1.474
36.428	-130.753	1.394
36.462	-130.781	1.309
36.486	-130.800	1.256
36.508	-130.859	1.216
