P1_hand_lP1_hands_pos_X	P1_hand_lP1_hands_pos_Y	P1_hand_lP1_hands_pos_Z	P1_hand_rP1_hands_pos_X	P1_hand_rP1_hands_pos_Y	P1_hand_rP1_hands_pos_Z
-98.119	71.321	984.202	-56.030	-33.295	989.912
-99.709	71.475	984.250	-56.808	-34.023	990.019
-101.538	71.644	984.371	-57.722	-35.069	990.216
-103.362	71.757	984.508	-58.378	-35.850	990.342
-105.171	71.833	984.542	-59.173	-36.763	990.521
-107.033	71.906	984.696	-59.858	-37.508	990.702
-108.774	72.131	985.001	-60.726	-38.318	991.026
-110.479	72.328	985.288	-61.636	-39.128	991.444
-112.215	72.579	985.641	-62.589	-40.046	991.876
-113.888	72.873	985.937	-63.401	-40.769	992.234
-115.487	73.259	986.223	-64.427	-41.599	992.682
-117.013	73.671	986.433	-65.403	-42.375	993.112
-118.265	74.139	986.708	-66.351	-43.340	993.491
-119.535	74.672	987.013	-67.060	-44.187	993.813
-120.482	75.170	987.384	-67.766	-45.138	994.222
-121.443	75.687	987.755	-68.312	-45.890	994.655
-122.160	76.304	988.071	-68.682	-46.769	995.146
-122.516	76.850	988.316	-68.856	-47.503	995.547
-122.654	77.364	988.520	-68.827	-47.993	995.868
-122.600	77.909	988.704	-68.658	-48.319	996.004
-122.450	78.461	988.871	-68.315	-48.547	995.997
-122.301	78.960	989.093	-67.854	-48.647	995.865
-122.172	79.440	989.409	-67.289	-48.565	995.643
-122.025	79.976	989.756	-66.877	-48.564	995.416
-121.903	80.615	990.224	-66.453	-48.637	995.154
-121.932	81.176	990.390	-66.043	-48.725	994.930
-121.874	81.545	990.465	-65.652	-48.955	994.664
-121.718	81.906	990.445	-65.260	-49.187	994.472
-121.496	82.288	990.377	-64.993	-49.446	994.276
-121.184	82.625	990.270	-64.756	-49.698	994.123
-120.864	82.964	990.129	-64.543	-49.887	993.950
-120.526	83.377	990.014	-64.308	-50.031	993.818
-120.212	83.925	989.941	-64.050	-50.147	993.685
-119.882	84.495	989.836	-63.716	-50.234	993.523
-119.583	85.052	989.788	-63.392	-50.392	993.515
-119.334	85.570	989.783	-63.014	-50.531	993.475
-119.122	86.185	989.803	-62.587	-50.724	993.496
-118.884	86.818	989.826	-62.028	-50.879	993.476
-118.692	87.429	989.868	-61.437	-51.081	993.577
-118.601	88.078	989.928	-60.925	-51.367	993.775
-118.567	88.826	990.046	-60.225	-51.663	993.943
-118.498	89.584	990.283	-59.665	-52.006	994.246
-118.302	90.428	990.555	-59.023	-52.480	994.585
