P6_elbow_lP6_whole_dist_traveled	P6_shoulder_lP6_whole_dist_traveled	P6_shoulder_rP6_whole_dist_traveled	P6_elbow_rP6_whole_dist_traveled	P6_headP6_whole_dist_traveled	P6_hand_rP6_whole_dist_traveled	P6_hand_lP6_whole_dist_traveled
52.046	29.461	28.363	63.123	106.225	81.281	37.183
53.680	30.298	28.601	64.060	108.045	82.880	38.044
55.349	31.095	28.851	65.421	109.836	84.500	38.840
56.993	31.943	29.250	66.210	111.597	85.982	39.684
58.586	32.758	29.714	67.053	113.323	87.487	40.521
60.189	33.554	30.170	67.806	115.021	88.871	41.330
61.647	34.351	30.668	68.490	116.614	90.251	42.110
63.361	35.114	31.216	69.100	118.253	91.653	42.913
64.635	35.894	31.716	69.747	119.782	92.956	43.753
66.254	36.669	32.161	70.298	121.265	94.235	44.503
67.595	37.393	32.629	70.689	122.692	95.731	45.333
68.778	38.051	33.066	70.975	124.115	96.992	46.063
69.896	38.703	33.418	70.975	125.452	98.360	46.893
70.826	39.394	33.737	71.274	126.746	99.960	47.722
71.742	40.016	33.973	71.633	127.997	101.657	48.579
72.457	40.535	34.271	72.084	129.277	103.542	49.454
73.110	41.006	34.633	72.774	130.488	105.503	50.419
73.604	41.446	35.138	73.663	131.733	107.696	51.636
74.036	41.889	35.673	74.797	132.972	109.918	52.835
74.532	42.231	36.269	76.014	134.203	111.929	54.204
74.987	42.575	37.037	77.303	135.411	113.733	55.540
75.584	42.890	37.772	78.711	136.683	115.289	57.011
76.281	43.316	38.573	80.008	137.801	116.412	58.212
77.117	43.750	39.383	81.142	139.002	117.488	59.499
78.132	44.246	40.216	82.155	140.007	118.446	60.451
79.174	44.723	41.048	82.948	141.039	119.391	61.279
80.467	45.218	41.775	83.674	142.095	120.486	61.918
81.849	45.782	42.420	84.959	142.923	121.350	62.406
83.338	46.283	43.083	85.729	143.670	122.218	62.773
84.916	46.772	43.663	86.052	144.457	122.996	63.213
86.499	47.231	44.053	86.305	145.212	123.653	63.645
88.339	47.597	44.362	86.574	145.839	124.127	63.933
90.196	47.944	44.603	86.880	146.382	124.518	63.933
92.235	48.274	44.867	87.247	146.849	124.932	64.294
94.330	48.647	45.126	87.670	147.295	125.339	64.609
96.777	49.038	45.453	88.159	147.746	125.769	64.939
98.854	49.530	45.847	88.679	148.080	126.221	65.301
100.837	49.995	46.243	89.202	148.438	126.719	65.670
102.742	50.497	46.703	89.670	148.759	127.177	66.091
104.632	51.116	47.153	90.120	149.034	127.590	66.582
106.401	51.723	47.541	90.570	149.292	127.902	67.039
108.039	52.303	47.897	90.976	149.554	128.185	67.469
109.595	53.055	48.226	91.318	149.795	128.406	67.913
111.026	53.708	48.528	91.533	150.022	128.406	68.296
112.326	54.363	48.739	91.533	150.255	128.719	68.678
113.507	55.032	48.739	91.889	150.543	128.719	69.030
114.453	55.687	49.133	91.889	150.766	128.988	69.375
115.356	56.299	49.389	92.196	150.993	128.988	69.688
116.153	56.850	49.656	92.401	151.223	128.988	69.949
116.722	57.318	49.940	92.650	151.452	129.203	70.227
117.276	57.726	50.231	92.942	151.672	129.203	70.515
117.744	58.135	50.514	93.293	151.903	129.203	70.849
118.138	58.440	50.825	93.691	152.125	129.501	71.172
118.516	58.703	51.141	94.161	152.125	129.501	71.621
118.916	58.917	51.430	94.753	152.463	129.771	71.996
119.266	58.917	51.682	95.126	152.666	129.771	72.352
119.588	59.218	51.892	95.684	152.866	130.107	72.678
119.893	59.218	51.892	96.255	153.101	130.107	73.038
120.255	59.501	52.283	96.913	153.398	130.456	73.347
120.544	59.501	52.283	97.474	153.712	130.700	73.608
120.809	59.787	52.666	97.958	154.081	130.934	73.608
121.070	59.787	52.666	98.307	154.440	131.183	73.988
121.303	60.097	52.997	98.550	154.911	131.468	73.988
121.508	60.097	52.997	98.550	155.318	131.468	74.236
121.508	60.405	53.307	98.780	155.741	131.849	74.236
121.801	60.405	53.307	98.780	156.180	131.849	74.465
121.801	60.644	53.621	98.780	156.662	132.109	74.465
121.801	60.644	53.621	99.014	157.262	132.109	74.666
122.095	60.863	53.977	99.014	157.955	132.109	74.666
122.095	60.863	53.977	99.014	158.766	132.373	74.892
122.400	61.174	54.304	99.280	159.591	132.373	74.892
122.400	61.174	54.304	99.280	160.442	132.373	75.118
122.727	61.513	54.531	99.482	161.263	132.624	75.118
122.727	61.728	54.531	99.482	162.223	132.624	75.118
123.031	62.000	54.531	99.482	163.137	132.624	75.455
123.031	62.325	54.774	99.690	164.056	132.873	75.455
123.345	62.604	54.774	99.690	164.883	132.873	75.675
123.345	62.863	54.774	99.690	165.842	132.873	75.675
123.603	63.140	55.099	99.923	166.645	132.873	75.675
123.603	63.397	55.099	99.923	167.441	133.139	75.879
