Head	RHand	LHand
3.003	21.970	3.759
3.879	25.779	1.602
4.572	23.393	3.888
4.661	24.821	4.065
4.449	27.370	2.925
4.980	32.479	7.139
6.102	30.808	11.524
6.321	26.567	14.373
6.361	28.163	16.684
5.451	30.426	17.934
4.274	33.959	15.942
4.013	39.323	11.290
4.556	44.554	8.876
4.593	35.567	9.114
4.971	26.189	8.173
6.289	28.610	5.403
7.887	27.865	6.222
9.954	23.645	11.350
11.503	22.468	11.679
12.810	31.449	14.157
16.687	43.263	18.113
16.545	46.800	19.302
16.986	52.722	18.525
20.126	62.452	17.581
20.332	72.184	17.284
23.271	84.035	13.562
26.034	83.203	7.112
25.188	72.495	1.619
25.933	68.042	8.217
25.884	62.749	9.394
22.349	54.648	6.511
20.989	49.079	7.561
20.616	45.538	9.858
18.693	45.727	9.949
15.790	63.388	9.759
13.588	63.704	8.390
12.873	21.614	5.045
11.058	5.602	4.386
10.564	14.631	4.970
10.548	37.514	6.750
9.925	60.247	10.730
10.186	84.651	12.718
12.102	120.732	10.005
13.351	109.023	6.858
14.372	69.369	6.023
15.580	56.425	5.095
15.720	41.398	5.925
16.223	35.793	5.909
13.000	35.221	6.789
11.503	34.665	11.209
10.377	30.661	9.419
7.564	23.276	12.220
6.281	15.679	11.382
4.490	8.657	8.812
3.763	6.677	7.991
4.607	4.966	9.281
5.828	2.990	9.251
7.068	3.124	9.331
7.267	5.001	10.611
7.234	8.818	9.041
7.823	11.645	9.601
9.865	13.078	9.284
9.589	14.026	9.025
10.284	14.926	7.649
11.752	18.615	6.192
11.393	23.709	4.426
10.956	27.055	2.689
10.493	31.853	2.802
9.658	38.438	4.024
7.882	42.387	2.527
7.731	41.544	1.545
7.494	40.628	2.501
6.799	41.044	3.478
4.771	45.410	9.109
3.547	45.092	13.448
3.280	41.014	12.758
2.816	45.671	10.933
4.968	45.107	7.272
6.887	35.215	8.284
7.389	33.115	7.241
8.087	32.194	4.325
9.361	32.302	6.031
7.991	32.476	6.109
9.619	35.021	7.349
12.015	38.487	7.630
11.414	43.016	8.102
11.525	45.053	8.265
9.918	48.069	9.452
11.854	46.415	7.101
11.956	42.284	5.870
11.008	45.577	8.014
11.032	46.950	4.376
10.375	48.055	2.803
10.402	47.291	2.974
10.384	44.180	3.425
10.180	39.076	5.265
9.918	26.343	6.554
9.832	14.660	6.210
7.868	6.914	3.919
5.724	3.091	2.186
5.902	8.647	2.334
5.215	12.457	5.180
4.755	13.753	5.475
4.930	14.864	4.948
4.020	10.533	3.243
2.830	7.463	3.848
2.978	10.438	2.692
2.716	10.145	4.604
1.701	8.073	5.314
2.069	7.584	6.329
2.785	6.360	8.059
3.842	5.972	5.062
2.509	5.803	4.947
2.721	3.565	4.706
3.711	3.875	4.087
4.212	6.201	4.303
4.185	4.491	3.903
4.287	3.135	4.967
4.733	3.851	6.238
4.763	4.844	7.705
4.734	4.378	7.001
4.827	1.665	5.670
3.513	3.655	3.171
2.707	8.121	1.511
3.689	14.493	2.048
3.113	19.455	4.370
3.255	24.768	7.564
3.219	35.611	9.507
2.794	41.214	8.440
3.837	45.865	6.163
