Head_X	Head_Y	Head_Z	RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z
11.008	10.741	2.888	19.709	29.779	12.468	3.563	15.905	5.848
11.008	10.965	2.888	19.709	30.393	12.468	3.829	15.905	5.848
11.283	10.965	2.888	19.709	30.852	12.468	3.829	16.308	5.848
11.283	10.965	2.888	20.079	31.495	12.468	4.179	16.537	6.068
11.283	10.965	2.888	20.319	32.102	12.468	4.179	16.799	6.068
11.572	10.965	2.888	20.583	32.604	12.468	4.460	17.106	6.068
11.572	10.965	2.888	20.877	33.063	12.468	4.460	17.435	6.412
11.572	10.965	2.888	21.143	33.498	12.468	4.460	17.762	6.412
11.796	10.965	2.888	21.370	33.937	12.468	4.460	18.189	6.748
11.796	10.965	2.888	21.370	34.305	12.468	4.460	18.562	6.977
11.796	10.965	2.888	21.629	34.620	12.468	4.460	18.908	6.977
11.796	10.965	2.888	21.629	35.008	12.468	4.460	19.220	7.195
11.796	10.965	2.888	21.629	35.347	12.468	4.742	19.455	7.195
11.796	10.965	2.888	21.629	35.669	12.468	4.742	19.455	7.195
11.796	10.965	2.888	21.629	35.948	12.468	4.742	19.455	7.195
11.796	10.965	2.888	21.836	36.393	12.468	4.742	19.661	7.195
11.796	10.965	2.888	21.836	36.755	12.468	4.742	19.661	7.195
11.796	10.965	2.888	21.836	37.131	12.468	4.742	19.661	7.195
11.796	10.965	2.888	22.224	37.524	12.468	4.742	19.661	7.195
11.796	11.195	2.888	22.461	37.882	12.468	4.742	19.661	7.195
11.796	11.195	2.888	22.758	38.291	12.468	4.742	19.873	7.195
11.796	11.195	2.888	23.045	38.602	12.676	4.742	19.873	7.195
11.796	11.402	2.888	23.314	39.061	12.676	4.742	20.083	7.195
11.796	11.402	2.888	23.647	39.504	12.676	4.742	20.083	7.195
11.796	11.402	2.888	24.125	40.014	12.676	4.742	20.083	7.195
11.796	11.402	2.888	24.447	40.453	12.936	4.742	20.331	7.195
11.796	11.662	3.094	24.710	40.852	12.936	4.742	20.331	7.195
