RHand	LHand	Head
17.021	2.306	6.812
14.272	2.721	5.608
13.122	5.456	2.627
12.301	6.879	2.578
9.115	5.863	1.584
10.711	3.030	0.707
12.358	0.956	18.510
12.795	1.344	2.654
17.676	5.764	19.812
20.221	7.376	2.204
17.504	5.458	2.157
16.118	2.608	1.705
14.077	2.709	16.141
12.017	6.139	3.985
10.609	5.991	19.028
10.128	5.383	3.972
10.633	6.468	4.031
10.502	6.660	2.025
10.490	5.636	3.232
12.475	6.161	4.637
14.591	6.698	3.494
15.127	6.650	5.214
14.219	7.074	4.496
13.596	6.462	18.252
13.135	4.818	3.102
10.498	4.044	17.772
8.588	2.703	4.052
5.753	1.149	2.709
2.557	1.290	1.759
1.814	4.654	2.288
2.315	8.696	1.983
1.327	9.819	2.933
1.870	7.431	2.309
3.419	8.031	2.715
2.030	7.378	17.408
1.446	2.368	1.660
2.305	1.757	19.651
4.248	2.617	6.964
7.027	3.910	5.969
7.565	3.791	7.359
7.587	3.401	7.267
8.503	4.140	6.769
9.267	5.350	5.135
7.990	5.892	11.536
7.240	7.107	6.999
7.423	8.463	22.466
5.716	9.608	6.567
3.886	11.859	5.507
2.319	11.937	7.205
1.978	12.177	10.070
1.470	11.372	7.617
0.935	8.598	24.524
1.105	6.876	6.048
1.195	4.970	3.374
0.995	3.601	2.873
0.339	4.071	15.312
0.892	3.784	3.508
1.794	5.999	19.661
2.747	6.593	3.135
2.957	7.627	1.835
3.381	8.497	0.886
3.880	10.371	1.590
4.425	10.220	2.137
2.984	10.370	16.793
1.773	9.299	2.302
3.064	8.282	19.556
4.000	10.332	1.849
4.657	11.084	4.594
3.201	11.719	5.688
3.559	13.568	14.560
4.795	12.405	4.234
3.107	11.493	19.656
2.125	10.725	4.608
1.795	9.342	4.180
1.638	7.934	4.674
2.867	7.167	5.250
4.500	8.028	5.636
5.242	7.397	4.645
5.415	5.235	2.720
5.120	6.522	2.902
2.647	9.512	4.046
2.272	10.110	6.382
1.194	10.388	7.958
3.014	10.029	28.484
4.236	8.933	16.807
4.865	8.363	3.892
4.871	6.468	18.570
4.591	3.607	17.524
3.328	3.766	19.986
2.341	6.012	21.855
3.251	6.987	39.105
3.777	7.664	41.461
4.073	7.038	49.636
3.135	5.151	28.161
1.189	3.393	40.213
2.215	3.086	38.866
1.832	2.292	43.500
4.495	2.546	40.301
7.247	3.710	35.814
12.550	3.394	49.118
16.640	4.027	32.734
18.314	7.349	19.431
20.368	9.465	33.664
19.522	8.112	36.780
18.331	8.788	34.185
14.627	7.448	30.940
10.160	5.904	43.976
9.401	6.515	44.693
5.565	4.807	30.502
1.880	7.724	17.859
1.695	10.434	16.829
6.747	9.451	32.245
6.426	10.301	30.027
9.494	11.313	30.026
11.182	11.845	30.123
10.451	12.123	25.976
10.142	10.617	25.222
10.456	10.629	25.027
9.750	9.334	23.109
9.181	6.258	22.340
9.298	5.106	25.895
7.759	6.938	28.197
6.932	9.301	28.640
5.940	11.138	30.469
4.778	10.369	29.328
5.771	7.599	28.258
5.973	9.307	31.098
5.843	17.684	33.906
7.159	26.901	34.797
12.874	36.648	35.658
21.339	45.545	36.953
23.207	46.806	37.442
26.314	43.984	36.978
28.230	42.539	35.398
30.171	43.786	36.569
31.165	49.301	42.731
27.713	48.426	44.168
24.609	34.569	42.608
22.553	21.869	43.538
20.123	15.132	52.369
15.712	11.166	59.826
9.817	9.021	56.643
7.435	8.141	53.718
6.835	10.926	56.633
8.577	12.715	53.336
11.828	19.118	44.870
15.532	24.390	42.013
18.157	27.468	40.514
16.828	26.932	39.922
11.995	23.156	38.222
8.168	19.869	36.821
5.695	14.312	35.940
3.643	11.511	36.030
2.723	13.038	36.739
3.604	13.052	36.899
7.487	12.940	36.929
9.046	17.577	38.849
11.090	19.331	36.186
11.119	18.204	34.567
10.418	18.142	37.414
7.720	16.376	34.196
4.052	13.216	30.978
2.294	11.679	32.352
3.141	9.972	35.762
4.556	8.956	35.929
5.430	8.091	32.381
5.654	6.439	28.697
8.500	6.797	26.632
9.022	9.615	26.016
10.090	10.345	27.395
9.283	10.132	29.580
5.640	8.832	29.112
4.409	6.772	29.620
2.872	7.343	29.255
5.347	6.494	26.930
6.833	5.494	26.545
5.759	4.275	27.529
3.465	1.330	29.770
4.598	2.677	31.544
5.064	4.347	33.308
6.606	4.818	33.864
7.269	3.808	32.944
5.136	3.656	35.029
3.782	2.954	38.549
4.014	2.721	39.758
4.968	2.684	39.985
3.328	3.932	40.336
5.194	1.428	40.726
10.068	1.284	38.663
9.890	2.456	36.717
6.225	5.665	38.203
2.644	10.102	38.067
6.740	13.451	35.512
12.931	16.401	36.869
