P4_hand_rP4_hands_pos_X	P4_hand_rP4_hands_pos_Y	P4_hand_rP4_hands_pos_Z	P4_hand_lP4_hands_pos_X	P4_hand_lP4_hands_pos_Y	P4_hand_lP4_hands_pos_Z
83.055	-3.726	777.926	37.995	186.913	757.782
83.149	-3.755	777.943	38.034	186.897	757.743
83.236	-3.803	777.939	38.069	186.910	757.717
83.304	-3.836	777.943	38.113	186.895	757.727
83.413	-3.892	777.960	38.126	186.909	757.752
83.539	-3.951	777.965	38.148	186.897	757.794
83.647	-3.981	778.014	38.150	186.881	757.866
83.748	-4.059	778.046	38.172	186.886	757.914
83.818	-4.131	778.074	38.178	186.861	757.927
83.905	-4.194	778.089	38.176	186.836	757.954
83.958	-4.256	778.085	38.196	186.788	757.909
83.987	-4.286	778.090	38.214	186.733	757.859
83.989	-4.311	778.072	38.219	186.690	757.829
