P3_hand_rP3whole_dist_traveled	P3_hand_lP3whole_dist_traveled	P3_shoulder_lP3whole_dist_traveled	P3_elbow_rP3whole_dist_traveled	P3_shoulder_rP3whole_dist_traveled	P3_headP3whole_dist_traveled	P3_elbow_lP3whole_dist_traveled
83.857	94.107	77.696	68.493	67.401	242.991	46.345
84.916	94.342	77.696	68.836	67.401	243.230	46.702
85.575	94.342	77.696	69.195	67.731	243.458	47.009
86.018	94.769	77.696	69.518	67.731	243.458	47.350
86.417	95.216	77.696	69.746	67.993	243.798	47.615
86.695	95.688	77.927	69.965	67.993	243.798	47.884
86.988	96.136	77.927	69.965	68.203	244.076	48.211
87.358	96.556	77.927	70.169	68.203	244.076	48.451
87.721	96.937	78.168	70.169	68.203	244.338	48.683
88.069	97.199	78.168	70.169	68.412	244.338	48.683
88.326	97.199	78.168	70.169	68.412	244.544	49.062
88.326	97.199	78.409	70.169	68.412	244.544	49.062
88.612	97.199	78.409	70.169	68.412	244.744	49.062
88.612	97.489	78.409	70.169	68.645	244.744	49.309
88.612	97.489	78.409	70.169	68.645	244.744	49.309
88.838	97.867	78.689	70.383	68.645	244.998	49.309
88.838	97.867	78.689	70.383	68.645	244.998	49.525
88.838	98.223	78.689	70.383	68.854	244.998	49.525
88.838	98.223	78.689	70.383	68.854	245.231	49.525
88.838	98.223	78.904	70.601	68.854	245.231	49.525
89.084	98.223	78.904	70.601	69.152	245.231	49.525
89.084	98.223	78.904	70.601	69.152	245.432	49.525
89.084	98.223	78.904	70.601	69.152	245.432	49.733
89.341	98.223	78.904	70.826	69.152	245.432	49.733
89.341	98.223	78.904	70.826	69.413	245.432	49.733
89.341	98.223	79.121	70.826	69.413	245.655	49.733
89.341	98.223	79.121	71.091	69.413	245.655	49.733
89.594	98.223	79.121	71.091	69.413	245.655	49.733
89.594	98.223	79.121	71.091	69.413	245.655	49.733
89.594	98.223	79.121	71.091	69.625	245.914	49.733
89.594	98.223	79.121	71.091	69.625	245.914	49.733
89.594	98.223	79.121	71.091	69.625	245.914	49.733
89.594	98.223	79.121	71.091	69.625	246.143	49.733
89.594	98.223	79.121	71.091	69.625	246.143	49.733
