P2_elbow_rP2whole_dist_traveled	P2_hand_rP2whole_dist_traveled	P2_shoulder_lP2whole_dist_traveled	P2_elbow_lP2whole_dist_traveled	P2_headP2whole_dist_traveled	P2_shoulder_rP2whole_dist_traveled	P2_hand_lP2whole_dist_traveled
53.882	153.722	109.210	24.857	195.373	117.533	180.397
54.096	153.951	109.210	24.857	195.658	117.813	180.737
54.096	154.212	109.210	24.857	195.859	117.813	181.205
54.096	154.556	109.426	24.857	196.095	118.033	181.728
54.096	154.937	109.426	24.857	196.697	118.033	182.312
54.096	155.281	109.426	24.857	196.953	118.253	182.882
54.302	155.628	110.030	24.857	197.485	118.253	183.386
54.302	155.983	110.030	24.857	197.485	118.253	183.764
54.302	156.212	110.030	24.857	197.838	118.456	184.032
54.302	156.423	110.263	25.059	197.838	118.456	184.032
54.302	156.423	110.263	25.059	198.093	118.456	184.244
54.302	156.753	110.506	25.059	198.093	118.456	184.244
54.302	157.104	110.506	25.059	198.429	118.456	184.517
54.302	157.104	110.715	25.059	198.429	118.456	184.798
54.302	157.451	110.715	25.059	198.775	118.672	185.191
54.302	157.712	110.715	25.059	198.775	118.672	185.608
54.538	157.972	110.973	25.059	199.011	118.672	186.029
54.538	158.207	110.973	25.059	199.011	118.877	186.388
54.538	158.461	110.973	25.059	199.011	118.877	186.604
54.538	158.696	111.243	25.059	199.306	118.877	186.604
54.538	158.963	111.243	25.059	199.306	119.139	186.909
54.538	159.180	111.243	25.059	199.306	119.139	186.909
54.538	159.180	111.243	25.059	199.531	119.413	187.350
54.538	159.501	111.448	25.059	199.531	119.413	187.656
54.538	159.501	111.448	25.059	199.531	119.695	187.957
54.538	159.783	111.448	25.059	199.733	119.695	188.284
54.538	159.783	111.664	25.059	199.733	119.962	188.559
54.759	160.005	111.664	25.059	199.733	119.962	188.782
54.759	160.005	111.664	25.059	200.000	120.230	188.782
54.759	160.005	111.888	25.059	200.000	120.230	189.086
54.759	160.005	111.888	25.059	200.203	120.495	189.086
54.759	160.005	111.888	25.059	200.203	120.495	189.086
54.759	160.005	112.134	25.059	200.203	120.702	189.295
54.759	160.005	112.134	25.274	200.515	120.702	189.295
54.759	160.412	112.134	25.274	200.515	120.702	189.719
54.759	160.812	112.386	25.274	200.765	120.925	190.041
54.759	161.318	112.386	25.274	200.765	120.925	190.506
54.759	162.030	112.602	25.274	201.106	120.925	190.992
54.963	162.944	112.602	25.274	201.106	120.925	191.508
54.963	164.108	112.996	25.274	201.369	120.925	192.193
54.963	165.115	112.996	25.274	201.369	120.925	192.686
54.963	165.626	112.996	25.274	201.369	120.925	192.961
54.963	165.989	113.281	25.274	201.631	121.152	192.961
54.963	166.297	113.281	25.274	201.631	121.152	192.961
54.963	166.634	113.484	25.274	201.631	121.152	193.222
54.963	166.872	113.484	25.274	201.852	121.152	193.222
54.963	166.872	113.745	25.274	201.852	121.152	193.503
54.963	166.872	113.745	25.274	201.852	121.374	193.503
54.963	166.872	113.992	25.274	201.852	121.374	193.712
55.164	166.872	113.992	25.274	202.058	121.374	193.712
55.164	167.121	114.260	25.499	202.058	121.575	193.919
55.164	167.121	114.260	25.499	202.058	121.575	193.919
55.164	167.416	114.524	25.499	202.058	121.575	193.919
55.416	167.416	115.202	25.499	202.058	121.829	194.156
55.416	167.834	115.794	25.499	202.278	121.829	194.156
55.416	167.834	116.427	25.499	202.278	122.043	194.156
55.691	168.219	116.427	25.499	202.278	122.043	194.156
55.691	168.219	116.427	25.499	202.278	122.334	194.156
55.893	168.505	116.699	25.499	202.278	122.334	194.156
55.893	168.505	116.699	25.499	202.491	122.334	194.156
55.893	168.740	116.699	25.499	202.491	122.581	194.372
55.893	168.740	116.934	25.499	202.491	122.581	194.372
