RHand	Head	LHand
36.545	9.471	32.783
33.796	7.104	34.034
28.081	4.824	36.543
21.618	3.368	34.654
11.882	3.018	38.057
4.330	2.297	42.809
13.381	3.662	47.215
28.370	6.571	53.367
42.920	5.995	50.477
62.592	6.824	37.567
79.595	8.651	29.924
87.412	9.571	18.287
98.853	12.624	4.897
96.477	13.406	9.855
70.750	14.012	28.100
37.677	14.742	64.697
19.643	16.605	78.096
46.074	18.853	79.677
74.344	16.925	97.755
97.754	19.039	116.775
88.957	20.813	133.396
81.518	19.825	135.405
78.257	18.950	126.765
53.942	18.504	101.485
30.034	20.469	63.769
13.207	21.699	46.774
16.519	20.260	49.829
30.014	17.741	62.906
42.379	16.544	81.213
52.934	14.609	88.888
57.476	13.666	80.613
61.807	13.516	66.247
67.337	12.740	52.170
77.655	12.230	43.779
83.498	10.146	38.400
60.642	7.559	27.958
34.203	7.218	17.469
19.077	7.199	11.464
24.415	5.445	15.079
36.378	5.845	25.047
42.239	6.363	39.296
48.920	5.882	49.993
54.055	6.892	55.507
52.426	5.799	67.341
41.562	4.392	78.196
28.997	5.471	81.338
28.227	6.130	72.815
22.480	5.785	47.733
15.783	6.374	22.992
11.991	8.429	19.473
18.003	9.433	31.690
26.394	7.799	43.154
37.649	8.581	45.988
49.123	7.867	38.777
59.893	7.095	31.872
52.036	9.294	27.300
35.166	9.689	21.037
25.440	10.354	18.605
19.625	11.599	19.622
17.372	10.784	20.113
15.109	7.937	22.321
11.159	9.657	25.283
5.673	10.791	29.149
1.972	10.166	33.342
3.641	11.123	34.855
1.868	11.575	33.022
2.861	10.244	29.920
4.252	10.334	28.441
7.186	12.526	26.531
8.097	12.947	25.004
7.315	12.813	27.059
6.586	13.236	25.165
4.109	12.657	17.620
3.994	12.156	14.667
3.829	11.551	14.034
3.328	11.885	13.672
4.343	12.036	11.289
1.858	12.169	7.766
1.759	13.116	7.318
2.095	14.114	5.890
1.608	12.906	1.589
3.144	11.209	3.349
1.337	12.172	4.905
3.231	12.594	8.449
3.625	12.466	10.859
2.670	11.761	11.817
1.794	11.931	13.592
1.778	12.758	27.477
3.059	12.987	26.495
3.253	13.354	18.444
2.913	13.588	19.031
1.957	14.001	20.437
0.975	15.376	22.626
2.058	15.840	23.906
2.085	15.153	27.457
1.325	15.614	30.768
0.169	17.004	36.499
1.413	18.444	39.005
1.445	19.671	39.044
2.373	20.473	44.202
2.191	21.066	55.578
2.135	19.646	67.393
3.354	17.908	77.211
1.581	18.826	74.565
2.518	18.316	47.768
2.417	17.477	23.111
2.500	16.918	12.975
1.162	16.063	17.713
1.630	17.682	19.848
1.823	18.870	16.301
4.008	18.045	10.780
4.189	16.615	4.898
3.459	17.029	8.021
4.944	15.345	8.146
7.172	12.399	6.017
7.986	13.324	3.528
7.461	12.629	4.719
7.891	14.189	6.114
9.066	13.093	5.259
13.670	9.825	3.088
17.444	11.597	0.995
24.061	12.795	3.796
27.752	12.140	5.543
28.529	10.754	5.963
30.497	9.122	5.204
31.548	10.027	3.448
33.250	10.420	2.631
31.274	11.316	1.271
27.936	13.903	2.019
24.587	11.672	1.994
21.303	10.429	2.425
17.153	11.718	3.265
11.802	12.412	3.748
10.331	11.824	3.751
11.052	8.961	3.976
10.743	8.078	3.338
10.715	8.038	4.508
9.652	7.148	4.624
7.973	6.089	4.209
6.927	4.388	7.525
4.163	4.484	10.785
4.661	3.624	12.866
6.064	4.919	18.426
9.466	3.033	24.368
10.787	5.901	28.804
12.298	6.059	33.325
12.205	5.676	35.419
11.225	5.539	37.328
10.768	3.170	36.155
10.311	3.378	30.251
9.481	2.815	24.722
7.083	2.414	21.026
4.262	3.923	16.648
6.208	1.921	13.170
11.215	1.075	12.967
14.788	1.831	10.582
20.286	1.567	8.314
24.427	2.718	8.152
24.206	2.241	5.086
25.196	1.641	4.567
23.231	2.091	5.554
19.644	2.609	4.267
18.400	1.621	5.016
16.998	2.939	6.326
21.237	3.318	4.236
23.474	3.211	5.486
21.012	3.945	4.259
19.530	3.196	1.277
16.131	4.432	2.469
13.109	4.547	4.821
11.779	4.813	6.089
9.849	7.169	5.751
6.630	7.610	7.520
2.766	8.872	7.781
2.775	11.723	6.890
3.334	13.450	5.960
1.691	13.789	4.467
2.832	16.254	1.111
3.978	17.401	2.149
3.342	17.106	1.289
4.418	18.648	4.407
5.895	20.303	6.404
3.140	20.830	4.094
2.700	21.250	1.658
5.065	19.714	2.368
3.578	18.266	3.733
3.270	16.248	5.438
4.537	13.633	4.418
3.567	12.002	3.220
3.195	11.056	20.052
4.082	13.407	20.875
8.575	13.636	3.123
4.102	10.956	6.040
4.488	13.351	9.438
2.504	14.844	7.481
3.002	14.718	5.846
3.616	14.320	6.345
4.086	12.758	7.458
9.302	13.727	11.145
9.091	12.010	11.698
2.075	11.923	12.582
3.350	14.894	15.438
1.599	16.536	15.397
0.435	17.972	19.575
0.787	20.636	23.097
2.141	23.786	26.599
3.533	22.370	35.019
3.442	22.702	44.472
3.278	23.969	46.843
2.239	24.095	45.122
2.635	26.477	44.094
3.367	24.982	42.270
2.984	22.581	31.463
3.109	22.105	16.023
4.520	21.269	5.134
5.536	16.729	10.701
6.698	12.481	15.430
7.335	9.927	12.057
9.440	7.923	7.171
11.234	7.292	5.533
12.628	6.329	5.372
12.872	6.278	4.218
14.080	5.845	3.696
17.415	6.865	4.077
16.809	13.190	3.346
17.531	16.538	3.773
18.991	16.427	3.695
16.287	18.506	1.485
15.062	19.286	1.121
13.968	20.900	2.219
12.904	22.554	1.776
12.126	19.648	2.359
10.601	19.253	2.823
8.734	20.148	1.659
5.782	20.467	3.479
4.619	20.245	2.592
5.137	21.603	2.817
2.690	22.666	2.513
3.504	20.026	1.692
3.792	16.478	2.648
7.514	14.245	1.629
7.412	21.900	0.921
8.612	35.877	2.441
11.362	50.641	3.806
10.133	72.956	3.377
11.962	100.441	3.487
13.230	130.809	2.740
12.090	154.857	1.031
16.092	175.365	1.720
18.201	198.374	3.369
13.281	216.743	2.550
13.567	226.988	4.503
35.009	240.398	7.769
33.870	250.714	10.409
15.062	248.978	12.899
15.703	242.772	13.885
14.356	233.751	14.208
15.722	217.397	13.641
9.490	191.521	10.870
24.674	159.575	9.634
22.831	120.868	8.366
6.957	87.769	6.938
22.486	58.498	10.281
8.574	45.963	12.910
17.250	69.444	14.676
11.665	109.833	18.352
15.130	148.445	22.836
18.258	190.205	26.410
20.873	233.016	26.654
