P2_hands_comp_Distance_X	P2_hands_comp_Distance_Y	P2_hands_comp_Distance_Z
-64.560	154.849	-1.294
-64.456	154.995	-1.431
-64.468	155.253	-1.399
-64.199	155.364	-1.677
-63.810	155.484	-2.002
-63.415	155.760	-2.380
-63.024	156.039	-2.801
-62.691	156.349	-3.133
-62.467	156.646	-3.404
-62.317	156.943	-3.559
-62.226	157.227	-3.670
-62.317	157.495	-3.642
-62.402	157.704	-3.527
-62.624	157.968	-3.392
-62.863	158.153	-3.254
-63.092	158.288	-3.097
-63.273	158.412	-2.991
-63.414	158.507	-2.866
-63.519	158.561	-2.800
-63.607	158.576	-2.741
-63.625	158.529	-2.722
-63.622	158.439	-2.716
-63.605	158.259	-2.751
-63.595	158.005	-2.795
-63.478	157.676	-2.855
-63.390	157.237	-2.866
-63.227	156.657	-2.850
-62.940	155.790	-3.019
-62.845	154.856	-2.838
-62.872	153.740	-2.623
-62.953	152.892	-2.401
-63.031	152.882	-2.177
-63.292	152.975	-2.188
-63.548	153.034	-2.266
-63.737	153.131	-2.406
-63.900	153.139	-2.489
-64.019	153.090	-2.525
-64.094	152.966	-2.557
-64.146	152.858	-2.474
-64.178	152.739	-2.425
-64.194	152.546	-2.354
-64.152	152.383	-2.280
-64.100	152.200	-2.223
-64.001	151.976	-2.200
-63.866	151.782	-2.152
-63.755	151.648	-2.122
-63.635	151.531	-2.117
-63.485	151.485	-2.112
-63.368	151.505	-2.102
-63.211	151.517	-2.125
-63.120	151.562	-2.162
-63.004	151.647	-2.146
-62.910	151.719	-2.173
-62.852	151.813	-2.175
-62.802	151.919	-2.149
-62.784	152.031	-2.117
-62.783	152.150	-2.098
-62.757	152.229	-2.095
-62.803	152.387	-2.157
-62.822	152.565	-2.139
-62.870	152.696	-2.168
-62.949	152.900	-2.191
-63.013	153.078	-2.221
-63.111	153.247	-2.267
-63.267	153.392	-2.276
-63.376	153.465	-2.240
-63.484	153.505	-2.147
-63.584	153.521	-2.049
-63.646	153.477	-1.955
-63.738	153.380	-1.831
-63.788	153.287	-1.711
-63.830	153.243	-1.634
-63.845	153.222	-1.578
-63.841	153.223	-1.567
-63.814	153.281	-1.614
-63.806	153.389	-1.680
-63.711	153.579	-1.791
-63.656	153.780	-1.904
-63.590	153.979	-2.011
-63.540	154.186	-2.097
-63.554	154.360	-2.066
-63.564	154.479	-2.092
-63.610	154.621	-1.995
-63.729	154.774	-1.893
-63.876	154.899	-1.810
-64.009	155.043	-1.731
-64.150	155.202	-1.709
-64.240	155.318	-1.696
-64.506	155.596	-1.445
-64.570	155.689	-1.455
