P5_hands_dir_Distance_X	P5_hands_dir_Distance_Y	P5_hands_dir_Distance_Z
-51.063	132.254	-0.036
-51.058	132.233	0.001
-51.031	132.200	0.014
-51.001	132.215	-0.029
-51.030	132.239	-0.012
-51.004	132.287	-0.068
-50.981	132.271	-0.072
-51.011	132.282	-0.118
-51.009	132.256	-0.112
-50.988	132.235	-0.131
-51.292	133.210	-0.881
-50.946	132.230	-0.221
-50.951	132.260	-0.249
-50.939	132.262	-0.229
-50.965	132.233	-0.260
-51.002	132.289	-0.242
-51.076	132.290	-0.235
-51.476	133.333	-1.003
-51.208	132.471	-0.264
-51.198	132.653	-0.296
-51.166	132.862	-0.383
-51.007	133.120	-0.469
-50.789	133.247	-0.425
-50.559	133.335	-0.243
-50.619	134.397	-0.737
-49.972	133.214	0.332
-49.788	132.863	0.915
-49.723	132.735	1.220
-49.743	133.048	1.307
-49.787	133.246	1.523
-49.965	133.255	1.967
-50.651	134.531	1.395
-50.344	133.698	2.225
-50.340	133.991	2.295
-50.356	134.152	2.289
-50.397	134.365	2.269
-50.437	134.663	2.319
-50.481	134.886	2.378
-50.441	135.011	2.360
-50.629	136.155	1.657
-50.226	135.263	2.370
-50.257	135.414	2.290
-50.339	135.516	2.329
-50.473	135.661	2.409
-50.498	135.820	2.475
-50.503	135.906	2.533
-50.890	137.040	2.009
-50.568	136.145	2.887
-50.626	135.657	3.226
-50.732	136.605	3.060
-50.859	136.730	3.332
-50.948	136.804	3.454
-50.958	136.852	3.537
-51.027	136.925	3.554
-51.064	136.914	3.508
-51.099	136.982	3.476
-51.143	137.031	3.340
-51.144	137.137	3.163
-51.230	137.213	3.034
-51.291	137.302	2.865
-51.707	138.376	1.994
-51.447	137.358	2.667
-51.531	137.390	2.662
-51.622	137.372	2.690
-51.726	137.415	2.742
-51.818	137.410	2.799
-51.919	137.463	2.808
-52.032	137.485	2.799
-52.142	137.548	2.849
-52.551	138.609	2.045
-52.345	137.595	2.844
-52.442	137.592	2.955
-52.555	137.617	3.054
-52.668	137.691	3.241
-52.819	137.808	3.487
-52.924	137.652	3.990
-53.017	138.007	4.015
-53.484	139.058	3.704
-53.494	137.664	5.164
-53.554	137.850	5.412
-53.619	137.392	5.833
-53.660	137.471	6.076
-53.719	137.605	6.243
-53.754	137.652	6.406
-53.789	137.722	6.489
-53.820	137.823	6.590
-53.812	137.924	6.549
-53.890	137.977	6.476
-53.864	138.076	6.447
-54.108	138.148	6.107
-53.841	138.135	6.399
-53.808	138.127	6.444
-53.757	138.084	6.562
-53.661	138.037	6.671
-53.509	137.931	6.777
-53.303	137.862	6.908
-53.326	137.786	6.737
-52.824	137.726	7.092
-52.603	137.541	7.184
-52.387	137.383	7.331
-52.198	136.988	7.552
-51.886	136.443	7.657
-51.355	135.800	7.697
-50.728	135.788	7.384
-50.309	136.562	6.095
-49.450	134.629	6.745
-49.104	133.969	6.670
-48.915	133.665	6.585
-48.776	133.440	6.539
-48.566	133.184	6.455
-48.367	132.901	6.255
-48.063	132.571	5.841
-47.754	132.398	5.153
-47.475	131.727	4.536
-47.349	131.610	3.774
-47.728	133.139	2.320
-47.472	131.815	2.470
-47.534	131.994	2.032
-47.627	132.242	1.583
-47.704	132.512	1.132
-47.723	132.730	0.753
-47.758	132.813	0.474
-47.989	134.176	-0.499
-47.549	132.702	0.085
-47.403	132.466	0.058
-47.250	132.260	-0.022
-47.107	132.104	-0.023
