RHand_X	RHand_Y	RHand_Z	Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z
0.934	2.707	1.027	11.805	4.604	4.099	1.051	29.484	0.849
0.934	2.707	1.027	11.805	4.604	4.099	1.051	30.063	0.849
0.934	2.707	1.027	11.805	4.604	4.382	1.051	30.651	0.849
0.934	2.707	1.027	12.038	4.604	4.382	1.051	31.252	0.849
0.934	2.707	1.027	12.038	4.604	4.382	1.051	31.834	0.849
0.934	2.707	1.027	12.038	4.604	4.648	1.051	31.834	0.849
0.934	2.707	1.027	12.038	4.819	4.648	1.051	31.834	0.849
0.934	2.707	1.027	12.038	4.819	4.648	1.051	32.443	0.849
0.934	2.707	1.027	12.038	4.819	4.648	1.051	32.443	0.849
0.934	2.707	1.027	12.247	4.819	4.912	1.051	32.443	0.849
0.934	2.707	1.027	12.247	4.819	4.912	1.051	33.090	0.849
0.934	2.707	1.027	12.247	4.819	4.912	1.051	33.724	0.849
0.934	2.707	1.027	12.247	4.819	4.912	1.051	33.724	0.849
0.934	2.707	1.027	12.247	4.819	4.912	1.051	33.724	0.849
0.934	2.707	1.027	12.247	4.819	4.912	1.051	33.724	0.849
0.934	2.707	1.027	12.247	4.819	4.912	1.051	33.724	0.849
0.934	2.707	1.027	12.247	5.020	4.912	1.051	33.724	0.849
0.934	2.707	1.027	12.247	5.020	4.912	1.051	33.724	0.849
0.934	2.707	1.027	12.247	5.020	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.247	5.244	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.247	5.244	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.247	5.244	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.247	5.244	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.247	5.475	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.247	5.475	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.247	5.475	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.486	5.475	4.912	1.051	34.368	0.849
0.934	2.707	1.027	12.486	5.475	4.912	1.051	35.004	0.849
0.934	2.707	1.027	12.486	5.475	4.912	1.051	35.004	0.849
0.934	2.707	1.027	12.486	5.475	4.912	1.051	35.004	0.849
0.934	2.707	1.027	12.486	5.475	4.912	1.051	35.004	0.849
0.934	2.707	1.027	12.486	5.475	4.912	1.051	35.602	0.849
0.934	2.707	1.027	12.486	5.475	4.912	1.051	36.219	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.219	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.219	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.677	4.912	1.051	36.829	0.849
0.934	2.707	1.027	12.486	5.887	4.912	1.051	37.419	0.849
0.934	2.707	1.027	12.486	5.887	5.117	1.051	38.038	0.849
0.934	2.707	1.027	12.697	5.887	5.117	1.051	38.038	0.849
0.934	2.707	1.027	12.697	5.887	5.117	1.051	38.038	0.849
0.934	2.707	1.027	12.697	5.887	5.117	1.051	38.038	0.849
0.934	2.707	1.027	12.697	5.887	5.117	1.051	38.038	0.849
0.934	2.707	1.027	12.911	5.887	5.117	1.051	38.038	0.849
0.934	2.707	1.027	12.911	5.887	5.117	1.051	38.658	0.849
0.934	2.707	1.027	12.911	6.136	5.117	1.051	38.658	0.849
0.934	2.707	1.027	12.911	6.136	5.117	1.051	39.258	0.849
0.934	2.707	1.027	12.911	6.356	5.117	1.051	39.872	0.849
0.934	2.707	1.027	12.911	6.356	5.117	1.051	40.491	0.849
0.934	2.707	1.027	12.911	6.644	5.117	1.051	40.491	0.849
0.934	2.707	1.027	13.133	6.644	5.117	1.051	40.491	0.849
0.934	2.707	1.027	13.133	6.948	5.117	1.051	40.491	0.849
0.934	2.707	1.027	13.133	6.948	5.117	1.051	41.094	0.849
0.934	2.707	1.027	13.133	7.168	5.117	1.051	41.715	0.849
0.934	2.707	1.027	13.133	7.168	5.117	1.051	41.715	0.849
0.934	2.707	1.027	13.133	7.168	5.117	1.051	41.715	0.849
0.934	2.707	1.027	13.338	7.434	5.117	1.051	41.715	0.849
0.934	2.707	1.027	13.338	7.434	5.117	1.051	41.715	0.849
0.934	2.707	1.027	13.338	7.640	5.117	1.051	41.715	0.849
0.934	2.707	1.027	13.338	7.640	5.117	1.051	41.715	0.849
0.934	2.707	1.027	13.338	7.640	5.117	1.051	42.331	0.849
0.934	2.707	1.027	13.338	7.878	5.117	1.051	42.331	0.849
0.934	2.707	1.027	13.338	7.878	5.117	1.051	42.331	0.849
0.934	2.707	1.027	13.338	7.878	5.117	1.051	42.331	0.849
0.934	2.707	1.027	13.564	7.878	5.117	1.051	42.934	0.849
0.934	2.707	1.027	13.564	8.125	5.117	1.051	42.934	0.849
0.934	2.707	1.027	13.564	8.125	5.117	1.051	42.934	0.849
0.934	2.707	1.027	13.564	8.125	5.333	1.051	42.934	0.849
0.934	2.707	1.027	13.564	8.125	5.333	1.051	42.934	0.849
0.934	2.707	1.027	13.564	8.125	5.333	1.051	42.934	0.849
0.934	2.707	1.027	13.564	8.125	5.333	1.051	42.934	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	43.549	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.171	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.800	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.800	0.849
0.934	2.707	1.027	13.564	8.331	5.333	1.051	44.800	0.849
0.934	2.707	1.027	13.564	8.331	5.550	1.051	44.800	0.849
0.934	2.707	1.027	13.564	8.331	5.550	1.051	45.389	0.849
0.934	2.707	1.027	13.771	8.331	5.550	1.051	45.389	0.849
0.934	2.707	1.027	13.771	8.331	5.550	1.051	45.984	0.849
0.934	2.707	1.027	13.771	8.331	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.331	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.331	5.550	1.051	46.583	0.849
