P5_hand_rP4_whole_dist_traveled	P5_shoulder_rP4_whole_dist_traveled	P5_headP4_whole_dist_traveled	P5_hand_lP4_whole_dist_traveled	P5_shoulder_lP4_whole_dist_traveled	P5_elbow_rP4_whole_dist_traveled	P5_elbow_lP4_whole_dist_traveled
3.917	5.249	21.014	45.034	0.663	3.059	3.165
3.917	5.249	21.014	45.034	0.663	3.059	3.165
4.131	5.249	21.014	45.034	0.663	3.059	3.165
4.333	5.249	21.014	45.034	0.663	3.059	3.165
4.333	5.249	21.014	45.034	0.663	3.059	3.165
4.333	5.249	21.014	45.665	0.663	3.059	3.165
4.333	5.249	21.014	45.665	0.663	3.059	3.165
4.333	5.249	21.275	45.665	0.663	3.059	3.165
4.333	5.249	21.275	45.665	0.663	3.059	3.165
4.333	5.249	21.275	46.259	0.663	3.059	3.165
4.333	5.249	21.275	46.259	0.663	3.059	3.165
4.333	5.249	21.486	46.870	0.663	3.059	3.165
4.333	5.249	21.486	47.482	0.663	3.059	3.165
4.333	5.249	21.486	47.482	0.663	3.059	3.165
4.333	5.249	21.486	47.482	0.663	3.059	3.165
4.333	5.249	21.486	47.482	0.663	3.059	3.165
4.333	5.249	21.711	47.482	0.663	3.059	3.165
4.550	5.249	21.711	47.482	0.663	3.059	3.165
4.550	5.249	21.711	47.482	0.663	3.059	3.165
4.550	5.249	21.711	47.482	0.663	3.059	3.165
4.550	5.249	21.711	47.482	0.663	3.059	3.165
4.550	5.249	21.914	47.482	0.663	3.059	3.165
4.550	5.249	21.914	47.482	0.663	3.059	3.165
4.758	5.249	21.914	47.482	0.663	3.059	3.165
4.758	5.249	21.914	47.482	0.663	3.059	3.165
4.963	5.249	21.914	47.482	0.663	3.059	3.165
4.963	5.468	21.914	48.079	0.663	3.059	3.165
4.963	5.468	21.914	48.079	0.663	3.059	3.165
4.963	5.468	21.914	48.705	0.663	3.059	3.368
4.963	5.468	21.914	49.329	0.663	3.059	3.368
4.963	5.468	21.914	49.329	0.663	3.059	3.368
4.963	5.468	21.914	49.915	0.663	3.059	3.368
4.963	5.468	21.914	49.915	0.663	3.059	3.368
4.963	5.468	21.914	49.915	0.663	3.059	3.368
4.963	5.468	21.914	50.512	0.663	3.059	3.368
4.963	5.468	21.914	50.512	0.663	3.059	3.368
4.963	5.468	21.914	51.122	0.663	3.059	3.368
4.963	5.468	21.914	51.122	0.663	3.059	3.368
4.963	5.468	22.139	51.122	0.663	3.059	3.368
4.963	5.468	22.139	51.122	0.663	3.059	3.368
4.963	5.468	22.139	51.122	0.663	3.059	3.368
4.963	5.468	22.139	51.122	0.663	3.059	3.368
4.963	5.468	22.139	51.122	0.663	3.059	3.368
4.963	5.468	22.365	51.122	0.663	3.059	3.368
4.963	5.468	22.365	51.122	0.663	3.059	3.368
4.963	5.468	22.365	51.122	0.663	3.059	3.368
4.963	5.669	22.365	51.122	0.663	3.059	3.368
4.963	5.669	22.704	51.122	0.663	3.059	3.368
4.963	5.669	22.957	51.122	0.663	3.059	3.368
4.963	5.669	23.249	51.741	0.000	3.059	3.368
4.963	5.669	23.531	52.352	0.000	3.059	3.368
4.963	5.669	23.835	52.352	0.000	3.059	3.368
4.963	5.669	24.098	52.963	0.000	3.059	3.368
5.169	5.669	24.355	52.963	0.000	3.059	3.368
5.169	5.669	24.593	52.963	0.000	3.059	3.368
5.169	5.669	24.799	53.580	0.000	3.059	3.368
5.372	5.669	24.799	53.580	0.000	3.059	3.368
5.372	5.669	25.080	53.580	0.000	3.059	3.368
5.372	5.669	25.080	53.580	0.000	3.059	3.368
5.372	5.669	25.080	53.580	0.000	3.059	3.368
5.372	5.669	25.080	53.580	0.000	3.059	3.368
5.372	5.669	25.410	53.580	0.000	3.059	3.368
5.372	5.669	25.410	53.580	0.000	3.059	3.368
5.600	5.669	25.853	53.580	0.000	3.059	3.368
5.600	5.669	26.176	53.580	0.000	3.059	3.368
5.600	5.669	26.499	53.580	0.000	3.059	3.368
5.600	5.669	26.768	53.580	0.000	3.059	3.368
5.828	5.669	27.002	53.580	0.000	3.059	3.368
5.828	5.669	27.002	53.580	0.000	3.059	3.368
5.828	5.669	27.348	54.193	0.000	3.059	3.368
5.828	5.669	27.348	54.193	0.000	3.059	3.368
5.828	5.669	27.662	54.193	0.000	3.059	3.368
5.828	5.669	27.662	54.193	0.000	3.059	3.368
5.828	5.669	27.899	54.781	0.000	3.059	3.368
5.828	5.669	27.899	55.404	0.000	3.059	3.368
5.828	5.669	28.155	55.404	0.000	3.059	3.368
6.028	5.669	28.155	56.025	0.000	3.059	3.368
6.028	5.669	28.155	56.635	0.000	3.059	3.368
6.028	5.669	28.155	56.635	0.000	3.059	3.368
6.028	5.669	28.155	57.269	0.000	3.059	3.368
6.028	5.669	28.387	57.269	0.000	3.059	3.368
6.028	5.669	28.387	57.269	0.000	3.059	3.368
6.028	5.669	28.387	57.269	0.000	3.059	3.368
6.028	5.669	28.387	57.269	0.000	3.059	3.368
6.028	5.669	28.387	57.269	0.000	3.059	3.368
6.028	5.669	28.387	57.269	0.000	3.059	3.368
